epoch,train_mae_ha,train_mae_mha,test_mae_ha,test_mae_mha,learning_rate,best_epoch,phi0,phi1
57,0.0033854712127589543,3.3854712127589544,0.003108617873478879,3.1086178734788787,0.02,56,-0.4175007758119034,-0.05507601996059079
58,0.00285706083275208,2.8570608327520803,0.0025417484227483246,2.5417484227483245,0.02,56,-0.4207638993862749,-0.056076797973795625
59,0.002823213942273933,2.823213942273933,0.00249150092281921,2.49150092281921,0.02,59,-0.4245967295576159,-0.05696010328171356
60,0.002893115056296669,2.893115056296669,0.0025673188877798183,2.5673188877798183,0.02,59,-0.42859463186746044,-0.057728784046842195
61,0.0025061864099011973,2.5061864099011975,0.002148772120874324,2.148772120874324,0.02,61,-0.4320841736963688,-0.05891730346916044
62,0.002494094900675303,2.4940949006753033,0.0020977559698399113,2.0977559698399113,0.02,62,-0.43543063859948605,-0.059743251175806554
63,0.0025583582449653143,2.5583582449653144,0.0020938290593350505,2.0938290593350506,0.02,62,-0.43907340935455674,-0.0596465447970229
64,0.0025242461181963403,2.52424611819634,0.002133498752997326,2.133498752997326,0.02,62,-0.4426679014532356,-0.059438233162012806
65,0.002852946000868382,2.852946000868382,0.002361241557304165,2.361241557304165,0.02,62,-0.44631737823758494,-0.0597888056461669
66,0.0028192557429214133,2.8192557429214133,0.002502369736103686,2.5023697361036863,0.02,62,-0.45012502610651095,-0.0596076079980763
67,0.0026715562804322155,2.6715562804322155,0.0023441827964351533,2.3441827964351534,0.02,62,-0.453527756298477,-0.05992983193575464
68,0.0027112135488703763,2.711213548870376,0.0023186222092380785,2.3186222092380784,0.02,62,-0.4571863007554804,-0.060715093199002555
69,0.002935618928981489,2.935618928981489,0.002363048200560662,2.363048200560662,0.02,62,-0.46066491761699385,-0.061837070491189805
70,0.0034479872117051612,3.4479872117051613,0.0032826357526191674,3.2826357526191674,0.02,62,-0.4648106998819942,-0.0626184084934397
71,0.0025805498077719796,2.5805498077719795,0.002110792602861178,2.110792602861178,0.02,62,-0.4681386367903884,-0.06365132127502124
72,0.002658973287077245,2.658973287077245,0.002252703825494412,2.252703825494412,0.02,62,-0.4718867209047531,-0.0637781351606206
73,0.0030305717144204934,3.0305717144204936,0.0027794174473283768,2.7794174473283766,0.02,62,-0.4760434138705059,-0.06276852921077965
74,0.0028302517926342583,2.8302517926342583,0.002377363811435033,2.377363811435033,0.02,62,-0.47926427793158827,-0.06256674125737177
75,0.0025552824782882084,2.555282478288208,0.0022839229777091613,2.283922977709161,0.02,62,-0.4827813569865069,-0.0624723659045637
76,0.0024759201333666102,2.47592013336661,0.0021956540394514725,2.1956540394514725,0.02,76,-0.4865047422710024,-0.06319734608667094
77,0.0030387680974751493,3.0387680974751494,0.0024323226842733877,2.432322684273388,0.02,76,-0.4899454145797987,-0.0647057532512194
78,0.002780964516497675,2.780964516497675,0.0025982854565706833,2.598285456570683,0.02,76,-0.4939617601062778,-0.06495744275512465
79,0.0025407559559203746,2.5407559559203747,0.0022366039083056804,2.2366039083056806,0.02,76,-0.4969726088299339,-0.06610235063281338
80,0.002596590615867513,2.596590615867513,0.002116106808509464,2.116106808509464,0.02,76,-0.5002690037771873,-0.0671483690924484
81,0.0026474249900785268,2.6474249900785267,0.0025043156350189927,2.5043156350189926,0.02,76,-0.5040583277009502,-0.06738296766592226
82,0.002724702538253012,2.7247025382530117,0.002226701465312895,2.226701465312895,0.02,76,-0.507124460804639,-0.06868323852566136
83,0.002644237818138027,2.644237818138027,0.0020984364096704325,2.0984364096704327,0.02,76,-0.5103656592798107,-0.06992370228229149
84,0.0038385350168742374,3.8385350168742374,0.0037387580748398114,3.7387580748398115,0.02,76,-0.5137713435675203,-0.07028033334637572
85,0.002514542256440109,2.514542256440109,0.0019716662738420545,1.9716662738420545,0.02,76,-0.5165658860539152,-0.07133066133051671
86,0.0028425184574768373,2.8425184574768374,0.002420978016074991,2.420978016074991,0.02,76,-0.5197450099979544,-0.07192163932718919
87,0.002964992578079151,2.964992578079151,0.0028168511800139534,2.8168511800139533,0.02,76,-0.5237254087439445,-0.07226299552928139
88,0.0033247105227187696,3.3247105227187697,0.002664623668668407,2.664623668668407,0.02,76,-0.5265451738272474,-0.07464165855042565
89,0.00305371627909653,3.05371627909653,0.002948326600615009,2.948326600615009,0.02,76,-0.5305920282200024,-0.07447687562751178
90,0.002414782269139428,2.414782269139428,0.0019648189048354823,1.9648189048354823,0.02,90,-0.5337317931559612,-0.07470463621719384
91,0.0026928955505071497,2.6928955505071497,0.002362913542944526,2.362913542944526,0.02,90,-0.5371102109656777,-0.07476090500634262
92,0.002612185596039283,2.612185596039283,0.0022932820516644507,2.2932820516644505,0.02,90,-0.5402143432452857,-0.07461443054935654
93,0.0023797169094740686,2.3797169094740687,0.002058536989088052,2.058536989088052,0.02,93,-0.54346567445495,-0.07478227879964922
94,0.0024492920967703483,2.4492920967703484,0.001950123767720091,1.950123767720091,0.02,93,-0.5465426698278282,-0.07505581315348499
95,0.002461526055728393,2.461526055728393,0.0022381334174858864,2.2381334174858862,0.02,93,-0.5500720769926013,-0.07540737225338284
96,0.002417413062164701,2.417413062164701,0.0022219275318216694,2.2219275318216694,0.02,93,-0.5533658830946401,-0.07648342728064234
97,0.002792361925164612,2.792361925164612,0.002181512183992353,2.181512183992353,0.02,93,-0.5562714049248132,-0.07718396769644281
98,0.003027630386609159,3.027630386609159,0.002926141869973335,2.926141869973335,0.02,93,-0.5600820516446753,-0.07669680142131875
99,0.0026197921095732564,2.6197921095732566,0.0020602749708165872,2.0602749708165873,0.02,93,-0.5628387364441423,-0.07688226805684022
100,0.003020237270416226,3.020237270416226,0.0028260601137218527,2.826060113721853,0.02,93,-0.5666869807438385,-0.0767977920893782
101,0.0025161569001064385,2.5161569001064383,0.0020569134637128355,2.0569134637128355,0.02,93,-0.5692733238773291,-0.07849725945846045
102,0.0027283560685470664,2.7283560685470665,0.0021972823810545122,2.1972823810545123,0.02,93,-0.5722431913867413,-0.07923406809618443
103,0.0025583609422834513,2.5583609422834512,0.002283689752559302,2.283689752559302,0.02,93,-0.5755283594232339,-0.0798365971900536
104,0.0022027611239059516,2.2027611239059515,0.0019633088096139726,1.9633088096139726,0.02,104,-0.5785575553486478,-0.08083015835336235
105,0.00252065974006034,2.52065974006034,0.0022258412297123777,2.2258412297123775,0.02,104,-0.581399088210017,-0.0814012337699168
106,0.002240001256988964,2.2400012569889642,0.0020877268481760323,2.087726848176032,0.02,104,-0.5847946942282622,-0.08135278491864106
107,0.0024828613249541554,2.4828613249541553,0.001912442185389283,1.912442185389283,0.02,104,-0.5874557079082809,-0.0815804562190001
108,0.003009951974106882,3.009951974106882,0.0029765051210206227,2.976505121020623,0.02,104,-0.591141258829944,-0.0801344640593081
109,0.0022132769768426763,2.2132769768426765,0.0018948203670997347,1.8948203670997348,0.02,104,-0.5938722236174283,-0.08023369025599617
110,0.002629912505619943,2.629912505619943,0.002187555338102641,2.1875553381026407,0.02,104,-0.5965423667556803,-0.07983169047091174
111,0.0037347874286517515,3.7347874286517517,0.0037472927994170067,3.7472927994170067,0.02,104,-0.5998222249096201,-0.07802578399266866
112,0.0024587245443860556,2.4587245443860555,0.0018966528485560908,1.8966528485560907,0.02,104,-0.6020763910233619,-0.07759083366655758
113,0.002141214022978183,2.141214022978183,0.0019484636256701308,1.9484636256701309,0.02,113,-0.6053032817367608,-0.07649316270553365
114,0.002820540951334714,2.820540951334714,0.002689469608369573,2.689469608369573,0.02,113,-0.6083533006075321,-0.07596519243627488
115,0.0027074808163056316,2.7074808163056314,0.0022514114404854862,2.2514114404854864,0.02,113,-0.6106311827584957,-0.0765559102168405
116,0.0023607429660934616,2.360742966093462,0.0020667789385162374,2.0667789385162374,0.02,113,-0.6134093456214965,-0.07668272002036827
117,0.0028755842174576643,2.8755842174576642,0.002858369729529451,2.8583697295294512,0.02,113,-0.616688579626668,-0.07552168997276196
118,0.0028094223387668147,2.8094223387668147,0.0021874815332215045,2.1874815332215043,0.02,113,-0.6191003803815166,-0.07483606623234432
119,0.0027411166500226052,2.7411166500226054,0.0025565359646870975,2.5565359646870975,0.02,113,-0.6228250158614549,-0.07316456314572427
120,0.0022467163379028044,2.2467163379028046,0.0020305419826540977,2.0305419826540976,0.02,113,-0.6255536312245915,-0.0728494099679528
121,0.002523113351265216,2.523113351265216,0.0020296675624228507,2.029667562422851,0.02,113,-0.6280818810972327,-0.07250668705596909
122,0.0024434105240813187,2.443410524081319,0.0022485342946763002,2.2485342946763,0.02,113,-0.6310957368728574,-0.07179401182969897
123,0.002570877899080959,2.570877899080959,0.002401334058199326,2.401334058199326,0.02,113,-0.6339503823056374,-0.07252166918090557
124,0.0022549525857617435,2.2549525857617434,0.0020389949338659543,2.0389949338659545,0.02,113,-0.6364136590956285,-0.07349059701329044
125,0.0031519910844405087,3.1519910844405086,0.0031164672826211564,3.1164672826211564,0.02,113,-0.6398209631793118,-0.07267080943439846
126,0.003010430208001848,3.010430208001848,0.002390198296889412,2.390198296889412,0.02,113,-0.6420522662010879,-0.073454104777401
127,0.0028408753682680568,2.840875368268057,0.002716121287886697,2.716121287886697,0.02,113,-0.6458693504193744,-0.07172350949972904
128,0.002893767899047654,2.8937678990476536,0.002773866315969618,2.773866315969618,0.02,113,-0.6494439928419056,-0.0706508614411593
129,0.0030485564003520575,3.0485564003520573,0.0024677179273825383,2.4677179273825383,0.02,113,-0.651889168306386,-0.07123613820934256
130,0.002586610350861303,2.586610350861303,0.002499056396673712,2.499056396673712,0.02,113,-0.6556089172017533,-0.06944041658956687
131,0.0021023373373437754,2.1023373373437755,0.0018720752400384086,1.8720752400384086,0.02,131,-0.6587336092237596,-0.06808319894357559
132,0.002245885830279535,2.2458858302795353,0.0020472051600827212,2.0472051600827212,0.02,131,-0.6619939632582574,-0.06707414701515162
133,0.0020915973250689853,2.091597325068985,0.0018146998869410607,1.8146998869410607,0.02,133,-0.6650074869221229,-0.06593394913559973
134,0.0023662543584759017,2.3662543584759015,0.0023134896028405407,2.3134896028405407,0.02,133,-0.6684360491617736,-0.06395737664154316
135,0.002177191418192398,2.177191418192398,0.0019280049598463542,1.9280049598463542,0.02,133,-0.6713463650353899,-0.06343360533936779
136,0.0019428989892498287,1.9428989892498287,0.0017385118865371493,1.7385118865371494,0.02,136,-0.6745511789084321,-0.062027305352985306
137,0.002922317016068974,2.922317016068974,0.0028267053042810614,2.8267053042810613,0.02,136,-0.677661875007346,-0.06104347444152314
138,0.0028239862962121704,2.8239862962121705,0.002413177764723266,2.4131777647232657,0.02,136,-0.6800067844336138,-0.06148020394472447
139,0.001919966802554631,1.919966802554631,0.001699245712675764,1.6992457126757639,0.02,139,-0.6834713281714836,-0.059764922689882274
140,0.0025333192483569817,2.5333192483569817,0.00243877126269777,2.43877126269777,0.02,139,-0.6867969358213145,-0.058652233202226164
141,0.0032138654374536373,3.2138654374536375,0.0029098586090786876,2.9098586090786878,0.02,139,-0.6892442876935354,-0.05918520743730146
142,0.0023359889850755916,2.3359889850755917,0.002195215865704523,2.1952158657045233,0.02,139,-0.693151636051237,-0.0565194897361516
143,0.002238521416042377,2.238521416042377,0.0020641601884579235,2.0641601884579237,0.02,139,-0.6964870050422683,-0.055402195608376205
144,0.003077452318189433,3.077452318189433,0.0027134283004480583,2.7134283004480584,0.02,139,-0.6994238871005404,-0.05450030585097587
145,0.003312085447886459,3.312085447886459,0.0031774658877334345,3.1774658877334345,0.02,139,-0.7037228633489555,-0.050967940001142145
146,0.0018664450886425117,1.8664450886425117,0.001663323900272551,1.6633239002725508,0.02,146,-0.7068288609631005,-0.05032782713463343
147,0.0019553427123373286,1.9553427123373286,0.001778479315880708,1.778479315880708,0.02,146,-0.7111948512072324,-0.04720943029337251
148,0.003750844713379779,3.750844713379779,0.0037680436736653683,3.7680436736653684,0.02,146,-0.7159988615558209,-0.043086319046175846
149,0.0032958855404951267,3.2958855404951266,0.002787509344103765,2.787509344103765,0.02,146,-0.7195938736390746,-0.041935278809318716
