molecule,view,FE_width,column_index,train_mean,train_std_ddof0,actual_constant_mask_lt_1e_minus12,requested_constant_mask_le_1e_minus12,active_std_gt_1e_minus12,all30_min,all30_max,train_geometry_ids
H2S,saved_6AO_diagnostic,6,0,0.03098780829172549,0.0015688420035938112,False,False,True,0.028062287803305663,0.033238250373682776,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,saved_6AO_diagnostic,6,1,0.037516680645774424,0.000795465725014087,False,False,True,0.035962139238866486,0.038563541971926796,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,saved_6AO_diagnostic,6,2,1.9999999999999964,2.791646173764847e-15,True,True,False,1.9999999999999891,2.0000000000000018,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,saved_6AO_diagnostic,6,3,1.9999999999999984,3.0075912366101663e-15,True,True,False,1.999999999999991,2.000000000000004,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,saved_6AO_diagnostic,6,4,2.0000000000000013,2.031839577982629e-15,True,True,False,1.9999999999999973,2.000000000000005,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,saved_6AO_diagnostic,6,5,2.000000000000003,2.4937629136492327e-15,True,True,False,2.0000000000000004,2.0000000000000093,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,0,-4.440892098501825e-17,3.1610501629679945e-16,True,True,False,-4.440892098501244e-16,4.4408920985006257e-16,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,1,0.00036342417265188644,3.028260580589511e-05,False,False,True,0.0003064840839153149,0.00040664404191503856,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,2,1.999999999999994,2.2041026310011213e-15,True,True,False,1.9999999999999882,1.999999999999998,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,3,1.9999999999999958,2.5658724906271215e-15,True,True,False,1.9999999999999893,2.0000000000000004,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,4,1.9999999999999984,1.511426380841129e-15,True,True,False,1.9999999999999947,2.0000000000000027,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,5,1.9999999999999998,1.6205707112922548e-15,True,True,False,1.9999999999999971,2.000000000000003,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,6,2.0000000000000013,1.9238171466285236e-15,True,True,False,1.9999999999999984,2.000000000000005,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,7,2.0000000000000027,1.7045931090920378e-15,True,True,False,1.9999999999999993,2.0000000000000058,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,8,2.0000000000000044,2.0703005220742305e-15,True,True,False,2.0000000000000004,2.000000000000008,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2S,intended_10AO_diagnostic,10,9,2.000000000000006,1.995932757225581e-15,True,True,False,2.0000000000000013,2.00000000000001,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,0,-4.0513980245504505e-17,3.1732888799209727e-16,True,True,False,-6.447417782370121e-16,8.333086624758589e-16,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,1,0.0019941962958134663,7.926397629250762e-06,False,False,True,0.0019792168352304827,0.0020056354664610395,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,2,0.004967978315603709,0.0004130143129930447,False,False,True,0.004276623763758443,0.005651878323750931,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,3,1.9999999999999643,6.691163516086047e-14,True,True,False,1.9999999999997176,1.9999999999999947,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,4,1.9999999999999944,2.5459393363876488e-15,True,True,False,1.999999999999989,1.9999999999999993,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,5,1.9999999999999976,2.679297340257555e-15,True,True,False,1.9999999999999927,2.0000000000000027,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,6,2.000000000000001,2.009881891758634e-15,True,True,False,1.9999999999999944,2.0000000000000053,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,7,2.000000000000002,2.104939132372086e-15,True,True,False,1.9999999999999976,2.000000000000007,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,8,2.0000000000000058,1.5037956183050831e-15,True,True,False,2.0000000000000013,2.000000000000012,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
H2O2,Run1_exact,10,9,2.0000000000000338,6.500147382245077e-14,True,True,False,2.0000000000000058,2.000000000000274,001 003 005 007 009 011 013 015 017 019 021 023 025 027 029
