geometry_id,full_AO_dimension,valence_shape,descriptor_qubit_dimension,selected_ao_indices,selected_ao_labels,core_ao_indices,core_ao_labels,raw_FE,saved_raw_FE,status,loader_block_vs_saved_P_L_block,loader_FE_vs_saved_raw_FE,saved_full_P_L_vs_full_AO_Lowdin_transform,loader_block_vs_full_transform_then_selection,loader_block_vs_saved_P_mu_P_munu_reconstruction
021,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.03217696746984888, 0.0381343091725046, 1.9999999999999982, 1.9999999999999987, 2.0, 2.0000000000000004]","[0.03217696746984888, 0.0381343091725046, 1.9999999999999982, 1.9999999999999987, 2.0, 2.0000000000000004]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
022,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.03231513004548603, 0.03819562356147399, 1.9999999999999947, 2.0000000000000004, 2.0000000000000013, 2.0000000000000044]","[0.03231513004548603, 0.03819562356147399, 1.9999999999999947, 2.0000000000000004, 2.0000000000000013, 2.0000000000000044]",PASS,0.0,0.0,0.0,0.0,1.6653345369377348e-16
023,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.03244789807802238, 0.03825328321522958, 1.9999999999999984, 2.0000000000000004, 2.0000000000000013, 2.000000000000005]","[0.03244789807802238, 0.03825328321522958, 1.9999999999999984, 2.0000000000000004, 2.0000000000000013, 2.000000000000005]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
024,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.03257541640793993, 0.038307397240325836, 1.9999999999999984, 1.9999999999999998, 2.0000000000000036, 2.0000000000000093]","[0.03257541640793993, 0.038307397240325836, 1.9999999999999984, 1.9999999999999998, 2.0000000000000036, 2.0000000000000093]",PASS,0.0,0.0,0.0,0.0,1.1102230246251565e-16
025,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.032697828936435185, 0.03835807326727281, 1.9999999999999956, 1.9999999999999964, 1.999999999999998, 2.000000000000001]","[0.032697828936435185, 0.03835807326727281, 1.9999999999999956, 1.9999999999999964, 1.999999999999998, 2.000000000000001]",PASS,0.0,0.0,0.0,0.0,2.2898349882893854e-16
026,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.032815278415564864, 0.038405417406757625, 1.9999999999999958, 1.9999999999999987, 2.0, 2.0000000000000018]","[0.032815278415564864, 0.038405417406757625, 1.9999999999999958, 1.9999999999999987, 2.0, 2.0000000000000018]",PASS,0.0,0.0,0.0,0.0,1.1102230246251565e-16
027,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.03292790625633213, 0.03844953420964736, 1.9999999999999891, 1.999999999999991, 1.999999999999999, 2.0000000000000018]","[0.03292790625633213, 0.03844953420964736, 1.9999999999999891, 1.999999999999991, 1.999999999999999, 2.0000000000000018]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
028,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.033035852353403665, 0.03849052663076824, 1.9999999999999951, 1.9999999999999984, 2.0000000000000018, 2.000000000000005]","[0.033035852353403665, 0.03849052663076824, 1.9999999999999951, 1.9999999999999984, 2.0000000000000018, 2.000000000000005]",PASS,0.0,0.0,0.0,0.0,2.0122792321330962e-16
029,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.033139254926022765, 0.03852849599584762, 1.999999999999996, 1.9999999999999964, 1.9999999999999998, 2.0000000000000036]","[0.033139254926022765, 0.03852849599584762, 1.999999999999996, 1.9999999999999964, 1.9999999999999998, 2.0000000000000036]",PASS,0.0,0.0,0.0,0.0,2.220446049250313e-16
030,11,"[6, 6]",6,"[2, 6, 7, 8, 9, 10]","[""0 S 3s"", ""0 S 3px"", ""0 S 3py"", ""0 S 3pz"", ""1 H 1s"", ""2 H 1s""]","[0, 1, 3, 4, 5]","[""0 S 1s"", ""0 S 2s"", ""0 S 2px"", ""0 S 2py"", ""0 S 2pz""]","[0.033238250373682776, 0.038563541971926796, 1.9999999999999962, 1.9999999999999967, 1.9999999999999976, 2.0000000000000027]","[0.033238250373682776, 0.038563541971926796, 1.9999999999999962, 1.9999999999999967, 1.9999999999999976, 2.0000000000000027]",PASS,0.0,0.0,0.0,0.0,1.1102230246251565e-16
