molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,display_reference_Ha,display_RHF,display_FCI,display_unit
NH3,11,1.0030779602326816,-0.029444606221348923,-55.45275817347529,-55.51731603982104,-0.06455786634575134,-64.55786634575134,-55.45541977880504,2.661605329748795,-61.89626101600254,mHa
NH3,12,1.0096212060596481,-0.022901360394382397,-55.45382900765014,-55.519338083746234,-0.06550907609609169,-65.50907609609169,-55.45541977880504,1.59077115489481,-63.91830494119688,mHa
NH3,13,1.0161644518866144,-0.016358114567416093,-55.454617850155536,-55.52109163339232,-0.06647378323678055,-66.47378323678055,-55.45541977880504,0.8019286495013489,-65.6718545872792,mHa
NH3,14,1.022707697713581,-0.009814868740449567,-55.455134510461676,-55.522586709223695,-0.06745219876201958,-67.45219876201958,-55.45541977880504,0.2852683433616221,-67.16693041865796,mHa
NH3,15,1.0292509435405472,-0.003271622913483263,-55.45538845576259,-55.52383299086493,-0.06844453510234416,-68.44453510234416,-55.45541977880504,0.0313230424495714,-68.41321205989459,mHa
NH3,16,1.0357941893675138,0.003271622913483263,-55.45538882559224,-55.524839831627574,-0.0694510060353366,-69.4510060353366,-55.45541977880504,0.030953212800000074,-69.4200528225366,mHa
NH3,17,1.0423374351944803,0.00981486874044979,-55.45514444572147,-55.52561627231513,-0.07047182659366058,-70.47182659366058,-55.45541977880504,0.2753330835645329,-70.19649351009605,mHa
NH3,18,1.0488806810214466,0.016358114567416093,-55.4546638413748,-55.52617105434574,-0.07150721297093554,-71.50721297093554,-55.45541977880504,0.75593743023461,-70.75127554070093,mHa
NH3,19,1.0554239268484131,0.02290136039438262,-55.453955249784016,-55.52651263220799,-0.07255738242397314,-72.55738242397314,-55.45541977880504,1.4645290210211215,-71.09285340295202,mHa
NH3,20,1.0619671726753797,0.029444606221349146,-55.45302663211662,-55.52664918528843,-0.0736225531718091,-73.6225531718091,-55.45541977880504,2.3931466884192787,-71.22940648338982,mHa
NH3,21,1.068510418502346,0.03598785204831545,-55.45188568479819,-55.52658862909036,-0.07470294429217006,-74.70294429217006,-55.45541977880504,3.534094006845123,-71.16885028532494,mHa
NH3,22,1.0750536643293125,0.042531097875281976,-55.45053985026124,-55.52633862587424,-0.07579877561300208,-75.79877561300208,-55.45541977880504,4.8799285438008155,-70.91884706920126,mHa
NH3,23,1.081596910156279,0.0490743437022485,-55.44899632714219,-55.52590659474224,-0.0769102676000486,-76.9102676000486,-55.45541977880504,6.4234516628474125,-70.48681593720119,mHa
NH3,24,1.0881401559832453,0.055617589529214806,-55.44726207995508,-55.5252997211979,-0.07803764124281543,-78.03764124281543,-55.45541977880504,8.157698849956319,-69.8799423928591,mHa
NH3,25,1.0946834018102118,0.06216083535618133,-55.44534384826648,-55.52452496619935,-0.07918111793286897,-79.18111793286897,-55.45541977880504,10.075930538555156,-69.10518739431382,mHa
NH3,26,1.1012266476371781,0.06870408118314764,-55.44324815539376,-55.52358907473349,-0.08034091933973286,-80.34091933973286,-55.45541977880504,12.171623411276755,-68.16929592845611,mHa
NH3,27,1.1077698934641447,0.07524732701011416,-55.440981316654636,-55.522498583935715,-0.08151726728107889,-81.51726728107889,-55.45541977880504,14.438462150401676,-67.07880513067721,mHa
NH3,28,1.1143131392911112,0.08179057283708069,-55.438549447186766,-55.521259830775016,-0.08271038358824967,-82.71038358824967,-55.45541977880504,16.87033161827145,-65.84005196997822,mHa
NH3,29,1.1208563851180775,0.08833381866404699,-55.43595846936264,-55.51987895932938,-0.08392048996674362,-83.92048996674362,-55.45541977880504,19.461309442398544,-64.45918052434507,mHa
NH3,30,1.127399630945044,0.09487706449101352,-55.433214119820576,-55.51836192767183,-0.08514780785125708,-85.14780785125708,-55.45541977880504,22.20565898446125,-62.94214886679583,mHa
H2O,1,0.8766820946783271,-0.11272722400113389,-74.9305954294513,-74.97135215104066,-0.04075672158936072,-40.75672158936072,-74.96590119230045,35.30576284914844,-5.450958740212286,mHa
H2O,2,0.8844563859887502,-0.10495293269071082,-74.93578600178965,-74.97737805275293,-0.04159205096327412,-41.59205096327412,-74.96590119230045,30.115190510798584,-11.476860452475535,mHa
H2O,3,0.8922306772991732,-0.09717864138028787,-74.94049108442891,-74.98293349756847,-0.04244241313955399,-42.44241313955399,-74.96590119230045,25.410107871536525,-17.032305268017467,mHa
