molecule,model,seed,split,count,best_epoch,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa
CO,FG,14,train,15,434,0.0012619780002225967,1.2619780002225967,0.0018808629048958324,1.8808629048958323,0.004759047222394397,4.759047222394397,0.008609073825187191,8.609073825187192
CO,FG,14,test,15,434,0.0010793303130101812,1.0793303130101812,0.0014591463679342728,1.4591463679342729,0.0034957741129668374,3.4957741129668376,0.005608397476543542,5.608397476543542
CO,FG,15,train,15,373,0.001206856572007799,1.206856572007799,0.0019339459076677678,1.9339459076677679,0.006049770177881386,6.049770177881387,0.008797498811624033,8.797498811624033
CO,FG,15,test,15,373,0.000933944167381275,0.933944167381275,0.0011914460295912564,1.1914460295912563,0.0028176711112438413,2.8176711112438415,0.004745008264940287,4.745008264940287
CO,FG,16,train,15,88,0.0012110435278367378,1.2110435278367377,0.001934356680617349,1.9343566806173491,0.006230099305033626,6.230099305033626,0.008868012762574845,8.868012762574844
CO,FG,16,test,15,88,0.0009034118627134046,0.9034118627134047,0.001160916864071754,1.160916864071754,0.002779169139810189,2.779169139810189,0.004287793603450246,4.287793603450246
CO,FG,17,train,15,359,0.0012132794705781028,1.2132794705781027,0.0019226672595922811,1.9226672595922811,0.006130438250669473,6.1304382506694735,0.00860441189539074,8.60441189539074
CO,FG,17,test,15,359,0.0009381175394595358,0.9381175394595358,0.00118671009008673,1.18671009008673,0.0025491622249879387,2.5491622249879384,0.004484507891255596,4.484507891255596
CO,FG,18,train,15,355,0.0013172179792499386,1.3172179792499386,0.002001190534587306,2.0011905345873062,0.006020498773139232,6.0204987731392325,0.007679082529879283,7.679082529879283
CO,FG,18,test,15,355,0.0011967505148932152,1.1967505148932152,0.0014238619064045293,1.4238619064045293,0.0026035119145970953,2.603511914597095,0.005086128899722653,5.086128899722652
CO,FG,19,train,15,394,0.001247606771898361,1.247606771898361,0.001889026313310382,1.889026313310382,0.005088906508722485,5.088906508722485,0.008788421489673182,8.788421489673182
CO,FG,19,test,15,394,0.0010299163260002317,1.0299163260002318,0.001364310158389783,1.364310158389783,0.0034810261318949376,3.4810261318949376,0.005380903086600719,5.3809030866007195
CO,FG,20,train,15,369,0.0011705615330656412,1.1705615330656411,0.0020152544859255647,2.0152544859255648,0.006597762681561176,6.597762681561176,0.00898857796785843,8.98857796785843
CO,FG,20,test,15,369,0.000943382234092884,0.9433822340928839,0.001156105972584965,1.156105972584965,0.0023678020315792137,2.3678020315792137,0.004337358429326393,4.337358429326393
CO,FG,21,train,15,172,0.001256402058471238,1.256402058471238,0.001952811546050699,1.952811546050699,0.0061833121446035755,6.183312144603575,0.008430852540698142,8.430852540698142
CO,FG,21,test,15,172,0.000982596024303047,0.982596024303047,0.001231268947495658,1.2312689474956582,0.002711570819880882,2.711570819880882,0.00475858172711352,4.75858172711352
