model,seed,mae_mHa,molecule,split
MB-1,14,0.8212515659953586,ALL,test
MB-1,15,2.357776911239884,ALL,test
MB-1,16,0.6164911132838772,ALL,test
MB-1,17,0.5450367558974971,ALL,test
MB-1,18,0.6390036081191911,ALL,test
MB-1,19,0.5924539445318159,ALL,test
MB-1,20,2.3179083145077013,ALL,test
MB-1,21,0.22304178311871037,ALL,test
MB-1,22,0.494843884151817,ALL,test
MB-1,23,0.4925069463897868,ALL,test
MB-1,24,0.8371734307111578,ALL,test
MB-1,25,0.5291420191404494,ALL,test
MB-1,26,0.6678402139322432,ALL,test
MB-1,27,0.554998944989854,ALL,test
MB-1,28,2.8593104340349655,ALL,test
MB-1,29,0.6542366107284074,ALL,test
MB-1,30,2.4791655970750983,ALL,test
MB-1,31,0.5155368884029898,ALL,test
