molecule,point_index,bond_length_A,q_A,E_RHF_Ha,E_re_Ha,E_RHF_minus_E_re_Ha,E_RHF_relative_mHa
NH3,15,1.029251090160554,-0.0032716234055827353,-55.45538845037706,-55.45541977879945,3.1328422394949484e-05,0.031328422394949484
NH3,16,1.0357943369717195,0.0032716234055827353,-55.455388830946475,-55.45541977879945,3.094785297719227e-05,0.03094785297719227
NH3,17,1.042337583782885,0.009814870216748206,-55.45514446173273,-55.45541977879945,0.0002753170667233462,0.2753170667233462
NH3,18,1.0488808305940505,0.016358117027913677,-55.45466386795333,-55.45541977879945,0.0007559108461236974,0.7559108461236974
NH3,19,1.055424077405216,0.022901363839079147,-55.45395528683365,-55.45541977879945,0.0014644919658053368,1.4644919658053368
NH3,20,1.0619673242163812,0.029444610650244396,-55.45302667953436,-55.45541977879945,0.0023930992650917915,2.3930992650917915
NH3,21,1.0685105710275467,0.03598785746140987,-55.45188574247522,-55.45541977879945,0.003534036324232659,3.534036324232659
NH3,22,1.0750538178387121,0.04253110427257534,-55.45053991808272,-55.45541977879945,0.004879860716734186,4.879860716734186
NH3,23,1.0815970646498776,0.04907435108374081,-55.448996404987355,-55.45541977879945,0.006423373812097566,6.423373812097566
NH3,24,1.088140311461043,0.05561759789490628,-55.44726216769813,-55.45541977879945,0.008157611101324846,8.157611101324846
NH3,25,1.0946835582722085,0.06216084470607175,-55.44534394577579,-55.45541977879945,0.010075833023662994,10.075833023662994
NH3,26,1.1012268050833738,0.068704091517237,-55.44324826253324,-55.45541977879945,0.012171516266214155,12.171516266214155
NH3,27,1.1077700518945393,0.07524733832840247,-55.4409814332831,-55.45541977879945,0.014438345516353479,14.438345516353479
NH3,28,1.1143132987057047,0.08179058513956794,-55.43854957315885,-55.45541977879945,0.01687020564060049,16.87020564060049
NH3,29,1.1208565455168702,0.08833383195073341,-55.4359586045282,-55.45541977879945,0.019461174271249604,19.461174271249604
NH3,30,1.1273997923280357,0.09487707876189888,-55.43321426402575,-55.45541977879945,0.02220551477370236,22.20551477370236
N2,1,1.0602971202446738,-0.07355388724932621,-107.47926667605111,-107.50065426275157,0.02138758670045604,21.38758670045604
N2,2,1.0653698021239377,-0.0684812053700623,-107.48232136629704,-107.50065426275157,0.01833289645452396,18.33289645452396
N2,3,1.0704424840032016,-0.0634085234907984,-107.48511120799563,-107.50065426275157,0.015543054755937646,15.543054755937646
N2,4,1.0755151658824655,-0.05833584161153449,-107.48764418539537,-107.50065426275157,0.01301007735619919,13.01007735619919
N2,5,1.0805878477617292,-0.053263159732270804,-107.48992806739469,-107.50065426275157,0.010726195356880908,10.726195356880908
N2,6,1.0856605296409931,-0.0481904778530069,-107.49197041305658,-107.50065426275157,0.008683849694989476,8.683849694989476
N2,7,1.090733211520257,-0.04311779597374299,-107.4937785769808,-107.50065426275157,0.006875685770765472,6.875685770765472
N2,8,1.095805893399521,-0.03804511409447908,-107.4953597145375,-107.50065426275157,0.005294548214067163,5.294548214067163
N2,9,1.1008785752787849,-0.032972432215215175,-107.49672078697107,-107.50065426275157,0.003933475780499407,3.933475780499407
N2,10,1.1059512571580488,-0.027899750335951268,-107.49786856636872,-107.50065426275157,0.002785696382844094,2.785696382844094
N2,11,1.1110239390373127,-0.02282706845668736,-107.49880964050536,-107.50065426275157,0.0018446222462102924,1.8446222462102924
N2,12,1.1160966209165764,-0.017754386577423675,-107.49955041756465,-107.50065426275157,0.0011038451869183064,1.1038451869183064
N2,13,1.1211693027958403,-0.012681704698159768,-107.50009713073806,-107.50065426275157,0.0005571320135118185,0.5571320135118185
N2,14,1.1262419846751042,-0.007609022818895861,-107.50045584271204,-107.50065426275157,0.00019842003952419418,0.19842003952419418
N2,15,1.131314666554368,-0.0025363409396319536,-107.50063245003729,-107.50065426275157,2.1812714280144974e-05,0.021812714280144974
N2,16,1.136387348433632,0.0025363409396319536,-107.50063268738897,-107.50065426275157,2.157536259517201e-05,0.02157536259517201
N2,17,1.141460030312896,0.007609022818895861,-107.50046213172013,-107.50065426275157,0.00019213103144011257,0.19213103144011257
N2,18,1.1465327121921598,0.012681704698159768,-107.50012620631114,-107.50065426275157,0.0005280564404301913,0.5280564404301913
N2,19,1.1516053940714235,0.017754386577423453,-107.49963018471493,-107.50065426275157,0.0010240780366359559,1.0240780366359559
N2,20,1.1566780759506874,0.02282706845668736,-107.49897919460615,-107.50065426275157,0.001675068145416958,1.675068145416958
N2,21,1.1617507578299513,0.027899750335951268,-107.49817822153258,-107.50065426275157,0.0024760412189834824,2.4760412189834824
N2,22,1.1668234397092152,0.032972432215215175,-107.49723211257434,-107.50065426275157,0.003422150177229355,3.422150177229355
N2,23,1.1718961215884791,0.03804511409447908,-107.49614557990935,-107.50065426275157,0.004508682842214284,4.508682842214284
N2,24,1.176968803467743,0.04311779597374299,-107.49492320429448,-107.50065426275157,0.0057310584570871015,5.7310584570871015
N2,25,1.182041485347007,0.0481904778530069,-107.4935694384564,-107.50065426275157,0.007084824295162662,7.084824295162662
N2,26,1.1871141672262708,0.053263159732270804,-107.4920886104016,-107.50065426275157,0.008565652349972197,8.565652349972197
N2,27,1.1921868491055345,0.05833584161153449,-107.49048492664369,-107.50065426275157,0.010169336107878735,10.169336107878735
N2,28,1.1972595309847984,0.0634085234907984,-107.48876247535195,-107.50065426275157,0.011891787399619602,11.891787399619602
N2,29,1.2023322128640623,0.0684812053700623,-107.48692522942248,-107.50065426275157,0.013729033329084928,13.729033329084928
N2,30,1.2074048947433262,0.07355388724932621,-107.48497704947498,-107.50065426275157,0.01567721327658944,15.677213276589441
CO,1,1.0680981976887212,-0.07738247826527878,-111.20558784136324,-111.22544951413585,0.019861672772606198,19.861672772606198
CO,2,1.0734349203277058,-0.07204575562629412,-111.20843337032042,-111.22544951413585,0.017016143815425266,17.016143815425266
CO,3,1.0787716429666907,-0.06670903298730924,-111.2110301561716,-111.22544951413585,0.014419357964243318,14.419357964243318
CO,4,1.0841083656056754,-0.06137231034832458,-111.21338604596569,-111.22544951413585,0.012063468170154579,12.063468170154579
CO,5,1.0894450882446602,-0.056035587709339696,-111.21550865656897,-111.22544951413585,0.009940857566874683,9.940857566874683
CO,6,1.094781810883645,-0.05069886507035504,-111.21740538198758,-111.22544951413585,0.008044132148270933,8.044132148270933
