molecule,point_index,basis,bond_length_A,q_A,E_RHF_Ha,E_FCI_Ha,E_corr_Ha,E_corr_mHa,E_CAS_active_Ha,E_core_including_nuclear_Ha,E_nuclear_Ha,n_frozen_orbitals,n_active_orbitals,n_active_electrons,status,error
H2O,27,sto-3g,1.078813668749326,0.08940435006986491,-74.95075621094247,-75.01869582675288,-0.06793961581040264,-67.93961581040264,-22.77438929476785,-52.244306531985025,8.168383070259857,1,6,8,PASS,
H2O,28,sto-3g,1.0865879600597488,0.09717864138028776,-74.94824860174691,-75.01748388316497,-0.06923528141805946,-69.23528141805946,-22.728778407294328,-52.28870547587064,8.109940135258226,1,6,8,PASS,
H2O,29,sto-3g,1.0943622513701718,0.10495293269071082,-74.94558690110547,-75.01613793647545,-0.07055103536997365,-70.55103536997365,-22.683664394498457,-52.33247354197699,8.052327551269101,1,6,8,PASS,
H2O,30,sto-3g,1.102136542680595,0.11272722400113389,-74.94277810634824,-75.01466511369377,-0.07188700734552356,-71.88700734552356,-22.63904103121797,-52.375624082475795,7.995527746810888,1,6,8,PASS,
NH3,1,sto-3g,0.9376455019630171,-0.09487706449101341,-55.42410430536252,-55.479847205219116,-0.05574289985659675,-55.74289985659675,-20.788803069107615,-34.6910441361115,12.924820177640814,1,7,8,PASS,
NH3,2,sto-3g,0.9441887477899835,-0.08833381866404699,-55.428621906610104,-55.485192272076816,-0.05657036546671179,-56.57036546671179,-20.728049448464887,-34.75714282361193,12.83525093008349,1,7,8,PASS,
NH3,3,sto-3g,0.95073199361695,-0.08179057283708047,-55.432736810400364,-55.490146125839004,-0.05740931543864036,-57.40931543864036,-20.667814771472358,-34.822331354366646,12.746914571729937,1,7,8,PASS,
NH3,4,sto-3g,0.9572752394439165,-0.07524732701011405,-55.43646323144508,-55.49472317345962,-0.0582599420145371,-58.2599420145371,-20.6080947725441,-34.88662840091552,12.659785821145498,1,7,8,PASS,
NH3,5,sto-3g,0.9638184852708829,-0.06870408118314764,-55.43981485006998,-55.498937289707946,-0.05912243963796726,-59.12243963796726,-20.548885161012272,-34.950052128695674,12.57384008342579,1,7,8,PASS,
NH3,6,sto-3g,0.9703617310978493,-0.06216083535618122,-55.442804835663395,-55.50280184055054,-0.0599970048871441,-59.9970048871441,-20.49018162743191,-35.01262021311863,12.489053427049996,1,7,8,PASS,
NH3,7,sto-3g,0.9769049769248158,-0.055617589529214695,-55.445445869095266,-55.50632970550218,-0.06088383640691575,-60.88383640691575,-20.431979849538166,-35.074349855964016,12.405402561664344,1,7,8,PASS,
NH3,8,sto-3g,0.9834482227517822,-0.04907434370224828,-55.44775016414038,-55.50953329897651,-0.06178313483612641,-61.78313483612641,-20.374275497856473,-35.135257801120034,12.322864816752547,1,7,8,PASS,
NH3,9,sto-3g,0.9899914685787486,-0.042531097875281865,-55.44972948793889,-55.51242459067495,-0.0626951027360576,-62.695102736057606,-20.317064240974503,-35.195360349700444,12.241418121151986,1,7,8,PASS,
NH3,10,sto-3g,0.9965347144057151,-0.03598785204831545,-55.451395180527896,-55.51501512504181,-0.06361994451391695,-63.61994451391695,-20.260341750473565,-35.25467337456825,12.161040983376962,1,7,8,PASS,
NH3,11,sto-3g,1.0030779602326816,-0.029444606221348923,-55.45275817347529,-55.51731603982104,-0.06455786634575134,-64.55786634575134,-20.204103705529235,-35.313212334291805,12.081712472712054,1,7,8,PASS,
NH3,12,sto-3g,1.0096212060596481,-0.022901360394382397,-55.45382900765014,-55.519338083746234,-0.06550907609609169,-65.50907609609169,-20.14834579718572,-35.370992286560515,12.003412201040648,1,7,8,PASS,
NH3,13,sto-3g,1.0161644518866144,-0.016358114567416093,-55.454617850155536,-55.52109163339232,-0.06647378323678055,-66.47378323678055,-20.09306373231057,-35.42802790108175,11.926120305375541,1,7,8,PASS,
NH3,14,sto-3g,1.022707697713581,-0.009814868740449567,-55.455134510461676,-55.522586709223695,-0.06745219876201958,-67.45219876201958,-20.03825323723771,-35.484333471985984,11.849817431060128,1,7,8,PASS,
NH3,15,sto-3g,1.0292509435405472,-0.003271622913483263,-55.45538845576259,-55.52383299086493,-0.06844453510234416,-68.44453510234416,-19.9839100611063,-35.53992292975863,11.774484715610402,1,7,8,PASS,
NH3,16,sto-3g,1.0357941893675138,0.003271622913483263,-55.45538882559224,-55.524839831627574,-0.0694510060353366,-69.4510060353366,-19.930029978906816,-35.59480985272076,11.70010377316937,1,7,8,PASS,
NH3,17,sto-3g,1.0423374351944803,0.00981486874044979,-55.45514444572147,-55.52561627231513,-0.07047182659366058,-70.47182659366058,-19.87660879423658,-35.64900747807855,11.626656679546967,1,7,8,PASS,
NH3,18,sto-3g,1.0488806810214466,0.016358114567416093,-55.4546638413748,-55.52617105434574,-0.07150721297093554,-71.50721297093554,-19.82364234178415,-35.70252871256159,11.554125957819943,1,7,8,PASS,
