molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,MB2,20,test,15,406,train,8.32223120247814e-05,7.141605819087257e-05,0.07141605819087257,0.00010021230294924994,0.10021230294924993,0.00028920362468554117,0.28920362468554117,0.00039197545167846126,0.39197545167846126,1
CO,MB2,21,train,15,365,train,0.00017189282907087433,0.00017189282907087433,0.17189282907087433,0.00029087558491157963,0.2908755849115796,0.0009229079270447471,0.9229079270447471,0.0010949775195380762,1.0949775195380762,1
CO,MB2,21,test,15,365,train,0.00017189282907087433,0.0001422957303129006,0.14229573031290058,0.00022183318766173685,0.22183318766173685,0.0007020620352888307,0.7020620352888307,0.000876140569266326,0.876140569266326,1
CO,MB2,22,train,15,497,train,9.156173626408045e-05,9.156173626408045e-05,0.09156173626408046,0.00011328692834320315,0.11328692834320314,0.00030143963095430326,0.30143963095430326,0.0004087441758045818,0.4087441758045818,1
CO,MB2,22,test,15,497,train,9.156173626408045e-05,8.119528121056467e-05,0.08119528121056467,9.5780192933742e-05,0.095780192933742,0.0002243021085217567,0.2243021085217567,0.00033289450218657035,0.33289450218657035,1
CO,MB2,23,train,15,493,train,0.00043483142288081776,0.00043483142288081776,0.4348314228808178,0.0006645064541730153,0.6645064541730153,0.0017549137038714024,1.7549137038714024,0.001978837970822961,1.9788379708229609,1
CO,MB2,23,test,15,493,train,0.00043483142288081776,0.0004963049941240046,0.49630499412400464,0.0007655989044933328,0.7655989044933328,0.0019851397281317462,1.9851397281317462,0.002207928203965759,2.207928203965759,1
CO,MB2,24,train,15,493,train,0.0007911060711515048,0.0007911060711515048,0.7911060711515048,0.0009818622670241981,0.9818622670241981,0.0022529183417193677,2.2529183417193677,0.0030266733305086557,3.0266733305086557,1
CO,MB2,24,test,15,493,train,0.0007911060711515048,0.0008260190985079334,0.8260190985079333,0.0010611973668244216,1.0611973668244217,0.002662168654244762,2.662168654244762,0.0034484778049250486,3.448477804925049,1
CO,MB2,25,train,15,495,train,0.000417188912379939,0.000417188912379939,0.417188912379939,0.0005072480504810866,0.5072480504810866,0.0010766361958985116,1.0766361958985116,0.001535329716814554,1.535329716814554,1
CO,MB2,25,test,15,495,train,0.000417188912379939,0.00043488860589780407,0.4348886058978041,0.0005379456378594126,0.5379456378594126,0.0013043719861631775,1.3043719861631775,0.0017558845932494904,1.7558845932494904,1
CO,MB2,26,train,15,493,train,0.00014569449978256896,0.00014569449978256896,0.14569449978256896,0.00018496226587695925,0.18496226587695924,0.00045308686451803193,0.45308686451803193,0.0005943212098876438,0.5943212098876438,1
CO,MB2,26,test,15,493,train,0.00014569449978256896,0.00015793113632578404,0.15793113632578404,0.00021050509986243534,0.21050509986243535,0.0005751082809901109,0.5751082809901109,0.0007141874457442521,0.7141874457442521,1
CO,MB2,27,train,15,499,train,0.0005208931402830232,0.0005208931402830232,0.5208931402830231,0.0006436620213558793,0.6436620213558794,0.0015090956648931009,1.5090956648931009,0.002048354330687896,2.048354330687896,1
CO,MB2,27,test,15,499,train,0.0005208931402830232,0.0005466692669730063,0.5466692669730062,0.0007066027568003737,0.7066027568003738,0.0018074106209305385,1.8074106209305385,0.0023453958974594957,2.345395897459496,1
CO,MB2,28,train,15,500,train,0.0005506579437128178,0.0005506579437128178,0.5506579437128178,0.0006661713816874805,0.6661713816874805,0.0015815944499979473,1.5815944499979473,0.0022957939111792613,2.2957939111792616,1
CO,MB2,28,test,15,500,train,0.0005506579437128178,0.0006012820655298642,0.6012820655298642,0.0007569492704116239,0.7569492704116239,0.001876600184770011,1.876600184770011,0.0025884180074883523,2.588418007488352,1
CO,MB2,29,train,15,500,train,0.00034241196494098257,0.00034241196494098257,0.3424119649409826,0.00041208140948424145,0.41208140948424143,0.0008485221975290669,0.8485221975290669,0.0012455300869644859,1.2455300869644859,1
CO,MB2,29,test,15,500,train,0.00034241196494098257,0.0003569239611473429,0.3569239611473429,0.0004342918134049936,0.4342918134049936,0.001031818465354939,1.031818465354939,0.001423591477203584,1.423591477203584,1
CO,MB2,30,train,15,500,train,0.0023862671337469667,0.0023862671337469667,2.3862671337469665,0.0028247226246207375,2.8247226246207373,0.005560030876361782,5.5600308763617825,0.00917905995954213,9.17905995954213,1
CO,MB2,30,test,15,500,train,0.0023862671337469667,0.0024756368584185062,2.4756368584185062,0.0029722833231176755,2.9722833231176753,0.006053663844206247,6.053663844206247,0.009420253893998393,9.420253893998392,1
CO,MB2,31,train,15,492,train,6.357458473094472e-05,6.357458473094472e-05,0.06357458473094472,7.758562343150862e-05,0.07758562343150861,0.00019708919566907568,0.19708919566907568,0.0002978179254175539,0.2978179254175539,1
CO,MB2,31,test,15,492,train,6.357458473094472e-05,7.165599107042397e-05,0.07165599107042397,9.766940318774174e-05,0.09766940318774174,0.00028774623183375203,0.28774623183375203,0.00038778428119712327,0.38778428119712327,1
CO,MB2_prime,1,train,15,480,train,0.0004886754497923066,0.0004886754497923066,0.48867544979230665,0.0006089202912754169,0.6089202912754169,0.0013965510367943135,1.3965510367943135,0.0018710573847033618,1.8710573847033618,1
CO,MB2_prime,1,test,15,480,train,0.0004886754497923066,0.0005088369484853916,0.5088369484853916,0.0006595446101771806,0.6595446101771806,0.001668214219539027,1.668214219539027,0.0021392416433445305,2.1392416433445307,1
CO,MB2_prime,2,train,15,489,train,0.00037547330812649863,0.00037547330812649863,0.37547330812649865,0.0004937220659695909,0.49372206596959095,0.001285316356460564,1.285316356460564,0.001629768638844481,1.629768638844481,1
CO,MB2_prime,2,test,15,489,train,0.00037547330812649863,0.00041098010378620893,0.4109801037862089,0.0005650939494683729,0.5650939494683729,0.0015179070898673763,1.5179070898673763,0.0018682107696639527,1.8682107696639527,1
CO,MB2_prime,3,train,15,496,train,0.0005328338446501639,0.0005328338446501639,0.5328338446501638,0.0006478583665112253,0.6478583665112253,0.0013757712262082722,1.3757712262082722,0.0019643487248900138,1.9643487248900138,1
