molecule,model,seed,split,count,best_epoch,checkpoint_selection,best_train_mae_ha,mae_hartree,mae_mHa,rmse_hartree,rmse_mHa,max_abs_error_hartree,max_abs_error_mHa,signed_error_amplitude_hartree,signed_error_amplitude_mHa,final_test_evaluation_call_count
CO,MB1_PRIME,13,test,15,496,train,0.0003301155852537226,0.0003776502385462436,0.37765023854624363,0.0005594580058830547,0.5594580058830546,0.001508088988541545,1.508088988541545,0.0017783943890646303,1.7783943890646303,1
CO,MB1_PRIME,14,train,15,458,train,0.00031777782349011,0.00031777782349011,0.31777782349011,0.0003910089803839975,0.3910089803839975,0.0009451581329791292,0.9451581329791292,0.0013225995852945982,1.3225995852945982,1
CO,MB1_PRIME,14,test,15,458,train,0.00031777782349011,0.0003466608045002669,0.34666080450026693,0.0004427824023014185,0.44278240230141847,0.0011651568732575224,1.1651568732575224,0.0015428697574415284,1.5428697574415284,1
CO,MB1_PRIME,15,train,15,498,train,0.005011631988244031,0.005011631988244031,5.011631988244031,0.005822751817711013,5.822751817711013,0.010437079659086246,10.437079659086246,0.018805240264259282,18.805240264259282,1
CO,MB1_PRIME,15,test,15,498,train,0.005011631988244031,0.0051309631221264215,5.130963122126421,0.0059960729613178915,5.996072961317892,0.011256348063215904,11.256348063215905,0.019082054330654852,19.082054330654852,1
CO,MB1_PRIME,16,train,15,499,train,0.0017244249502319047,0.0017244249502319047,1.7244249502319047,0.0021631620783373003,2.1631620783373005,0.004668514529249296,4.668514529249296,0.006366778751576957,6.366778751576957,1
CO,MB1_PRIME,16,test,15,499,train,0.0017244249502319047,0.0018460123404872816,1.8460123404872815,0.0023439091302543376,2.3439091302543376,0.005051087357626799,5.051087357626799,0.006657332715164471,6.657332715164471,1
CO,MB1_PRIME,17,train,15,500,train,0.0020652793752723646,0.0020652793752723646,2.0652793752723646,0.0023792186338652457,2.3792186338652455,0.004330637677626481,4.3306376776264806,0.007620378713597775,7.620378713597775,1
CO,MB1_PRIME,17,test,15,500,train,0.0020652793752723646,0.002128214062447627,2.1282140624476273,0.00247311264404792,2.47311264404792,0.00477097392414727,4.77097392414727,0.00793450383441191,7.93450383441191,1
CO,MB1_PRIME,18,train,15,479,train,0.0002762233649556486,0.0002762233649556486,0.2762233649556486,0.00033696705002532473,0.33696705002532473,0.0007456052158808513,0.7456052158808513,0.0010357706434733216,1.0357706434733216,1
CO,MB1_PRIME,18,test,15,479,train,0.0002762233649556486,0.00028853544695901697,0.28853544695901695,0.00036593219312307826,0.36593219312307823,0.0009225367782189631,0.9225367782189631,0.0012177445132597609,1.2177445132597609,1
CO,MB1_PRIME,19,train,15,498,train,0.000587494205140345,0.000587494205140345,0.587494205140345,0.0007288943752211798,0.7288943752211797,0.0016988408701300584,1.6988408701300584,0.0023622548785433295,2.3622548785433297,1
CO,MB1_PRIME,19,test,15,498,train,0.000587494205140345,0.000635039984103473,0.635039984103473,0.0008078790770316476,0.8078790770316476,0.0019158145241339464,1.9158145241339464,0.0025553001657062924,2.555300165706292,1
CO,MB1_PRIME,20,train,15,382,train,0.0002966162991703899,0.0002966162991703899,0.2966162991703899,0.0003603609075884639,0.3603609075884639,0.0007882709253853593,0.7882709253853593,0.0011300514245504711,1.1300514245504711,1
CO,MB1_PRIME,20,test,15,382,train,0.0002966162991703899,0.0003146190129805197,0.3146190129805197,0.00038962956359857954,0.38962956359857953,0.0009673069189715944,0.9673069189715944,0.0013072122514767581,1.3072122514767581,1
CO,MB1_PRIME,21,train,15,499,train,0.0003868262107091976,0.0003868262107091976,0.3868262107091976,0.0005620300853089859,0.5620300853089859,0.0015088845973660614,1.5088845973660614,0.001758974470035063,1.758974470035063,1
CO,MB1_PRIME,21,test,15,499,train,0.0003868262107091976,0.0004347334693716713,0.4347334693716713,0.0006498216569311107,0.6498216569311107,0.0017331226325527915,1.7331226325527915,0.001985449655525051,1.9854496555250511,1
CO,MB1_PRIME,22,train,15,472,train,0.00023669981784973926,0.00023669981784973926,0.23669981784973926,0.0002926306016610826,0.2926306016610826,0.0007246152167278697,0.7246152167278697,0.0010087544072975574,1.0087544072975574,1
CO,MB1_PRIME,22,test,15,472,train,0.00023669981784973926,0.0002600895013836554,0.2600895013836554,0.0003356193279012524,0.3356193279012524,0.0008962414632869009,0.8962414632869009,0.0011818618672651549,1.1818618672651549,1
CO,MB1_PRIME,23,train,15,500,train,0.0025974550870349073,0.0025974550870349073,2.5974550870349074,0.0031004364393154024,3.1004364393154025,0.006292755852698617,6.292755852698617,0.009679944950829689,9.67994495082969,1
CO,MB1_PRIME,23,test,15,500,train,0.0025974550870349073,0.0027068163855303697,2.7068163855303697,0.003297199478406451,3.297199478406451,0.006807315392992674,6.807315392992674,0.009999731791649813,9.999731791649813,1
CO,MB1_PRIME,24,train,15,477,train,0.0002981714368357295,0.0002981714368357295,0.2981714368357295,0.0003637535930959977,0.3637535930959977,0.0008039725344951287,0.8039725344951287,0.0011291705345507774,1.1291705345507774,1
CO,MB1_PRIME,24,test,15,477,train,0.0002981714368357295,0.00031405842472242057,0.31405842472242057,0.0003940700651585949,0.3940700651585949,0.0009880416976463247,0.9880416976463247,0.0013143418448661737,1.3143418448661737,1
CO,MB1_PRIME,25,train,15,499,train,0.007431061280494342,0.007431061280494342,7.431061280494342,0.00860336484405587,8.603364844055871,0.014587678903425078,14.587678903425077,0.02785585723438272,27.855857234382718,1
CO,MB1_PRIME,25,test,15,499,train,0.007431061280494342,0.007545943558460237,7.545943558460237,0.008747997159238642,8.747997159238642,0.015683793317034483,15.683793317034484,0.0280523484087144,28.0523484087144,1
CO,MB1_PRIME,26,train,15,490,train,0.0005770278592570686,0.0005770278592570686,0.5770278592570687,0.000749020640151614,0.749020640151614,0.0018181959479062204,1.8181959479062204,0.0023149476535817004,2.3149476535817004,1
CO,MB1_PRIME,26,test,15,490,train,0.0005770278592570686,0.0006178605947794032,0.6178605947794031,0.0008260830632923433,0.8260830632923433,0.002146696012612276,2.146696012612276,0.002649613965888531,2.649613965888531,1
CO,MB1_PRIME,27,train,15,497,train,0.008253086242028453,0.008253086242028453,8.253086242028452,0.009552748148430905,9.552748148430904,0.016161266300756844,16.161266300756843,0.03094823642261771,30.948236422617708,1
CO,MB1_PRIME,27,test,15,497,train,0.008253086242028453,0.008371502995338152,8.371502995338151,0.009705419241559808,9.705419241559808,0.017356468191966207,17.356468191966208,0.0311140985186365,31.114098518636503,1
CO,MB1_PRIME,28,train,15,410,train,0.00033316623187903407,0.00033316623187903407,0.33316623187903405,0.00040580256743011096,0.40580256743011095,0.0009167481513812636,0.9167481513812636,0.001303004817084119,1.303004817084119,1
CO,MB1_PRIME,28,test,15,410,train,0.00033316623187903407,0.00035634649910834353,0.35634649910834354,0.00044500131394901836,0.4450013139490184,0.0011251864707453874,1.1251864707453874,0.0015100442508990675,1.5100442508990675,1
CO,MB1_PRIME,29,train,15,499,train,0.0005298120338167345,0.0005298120338167345,0.5298120338167345,0.0006712666305746187,0.6712666305746187,0.0015843163519209669,1.5843163519209669,0.002186125239090647,2.1861252390906474,1
CO,MB1_PRIME,29,test,15,499,train,0.0005298120338167345,0.0005700803591504396,0.5700803591504395,0.0007452706028435846,0.7452706028435846,0.0017805165928707622,1.7805165928707622,0.002346061617376771,2.346061617376771,1
CO,MB1_PRIME,30,train,15,500,train,0.004196695188285665,0.004196695188285665,4.196695188285665,0.00492960306619172,4.92960306619172,0.009520512199833964,9.520512199833963,0.015772970023990474,15.772970023990474,1
CO,MB1_PRIME,30,test,15,500,train,0.004196695188285665,0.004346667905779635,4.3466679057796345,0.00517094504552824,5.1709450455282395,0.010310722536400752,10.310722536400752,0.016187434206429735,16.187434206429735,1
CO,MB1_PRIME,31,train,15,500,train,0.0019724342774228576,0.0019724342774228576,1.9724342774228576,0.0023453273176366734,2.3453273176366736,0.004977017261344724,4.977017261344724,0.0073781653223841115,7.3781653223841115,1
CO,MB1_PRIME,31,test,15,500,train,0.0019724342774228576,0.002078599594447278,2.0785995944472777,0.002530708197822309,2.530708197822309,0.005489356257569716,5.489356257569717,0.007838380713440285,7.838380713440285,1
