molecule,geom_index,bond_length_angstrom,E_RHF_Ha,E_FCI_frozen_core_Ha,E_corr_Ha,E_corr_mHa,E_corr_over_1p6_mHa,RHF_within_1p6_mHa_of_FCI
NH3,2,0.9507321284265687,-55.43273667255333,-55.49014610830173,-0.057409435748397186,-57.409435748397186,-35.88089734274824,False
NH3,3,0.9572753752377342,-55.43646310469789,-55.494723169011706,-0.058260064313813587,-58.26006431381359,-36.41254019613349,False
NH3,4,0.9638186220488997,-55.43981473444276,-55.49893729838338,-0.05912256394061899,-59.12256394061899,-36.95160246288687,False
NH3,5,0.9703618688600651,-55.442804731166284,-55.502801862372905,-0.059997131206621646,-59.997131206621646,-37.49820700413853,False
NH3,6,0.9769051156712305,-55.445445775728835,-55.50632974048426,-0.060883964755426234,-60.883964755426234,-38.052477972141396,False
NH3,7,0.983448362482396,-55.447750081895656,-55.50953334712189,-0.06178326522623223,-61.78326522623223,-38.614540766395145,False
NH3,8,0.9899916092935614,-55.4497294167978,-55.51242465197603,-0.06269523517823217,-62.69523517823217,-39.184521986395104,False
NH3,9,0.9965348561047269,-55.451395120463125,-55.515015199481255,-0.06362007901812916,-63.62007901812916,-39.762549386330726,False
NH3,10,1.0030781029158924,-55.452758124451194,-55.517316127372034,-0.06455800292084035,-64.55800292084035,-40.34875182552522,False
NH3,11,1.0096213497270576,-55.45382896962219,-55.519338184372174,-0.06550921474998717,-65.50921474998717,-40.94325921874198,False
NH3,12,1.016164596538223,-55.45461782307142,-55.52109174704752,-0.06647392397609764,-66.47392397609764,-41.54620248506102,False
NH3,13,1.0227078433493886,-55.455134494261046,-55.52258683585319,-0.0674523415921442,-67.4523415921442,-42.15771349509012,False
NH3,14,1.029251090160554,-55.45538845037706,-55.52383313040431,-0.06844468002725534,-68.44468002725534,-42.77792501703459,False
NH3,15,1.0357943369717195,-55.455388830946475,-55.52483998400397,-0.06945115305749283,-69.45115305749283,-43.40697066093302,False
NH3,16,1.042337583782885,-55.45514446173273,-55.52561643744699,-0.07047197571426267,-70.47197571426267,-44.04498482141417,False
NH3,17,1.0488808305940505,-55.45466386795333,-55.526171232142914,-0.07150736418958559,-71.50736418958559,-44.69210261849099,False
NH3,18,1.055424077405216,-55.45395528683365,-55.526512822571874,-0.07255753573822687,-72.55753573822687,-45.3484598363918,False
NH3,19,1.0619673242163812,-55.45302667953436,-55.52664938811209,-0.07362270857773012,-73.62270857773012,-46.01419286108133,False
NH3,20,1.0685105710275467,-55.45188574247522,-55.526588844259194,-0.07470310178397455,-74.70310178397455,-46.68943861498409,False
NH3,21,1.0750538178387121,-55.45053991808272,-55.526338853264946,-0.07579893518222747,-75.79893518222747,-47.37433448889217,False
NH3,22,1.0815970646498776,-55.448996404987355,-55.52590683422507,-0.07691042923771363,-76.91042923771363,-48.06901827357102,False
NH3,23,1.088140311461043,-55.44726216769813,-55.525299972634585,-0.07803780493645718,-78.03780493645718,-48.773628085285736,False
NH3,24,1.0946835582722085,-55.44534394577579,-55.52452522944412,-0.07918128366833344,-79.18128366833344,-49.4883022927084,False
NH3,25,1.1012268050833738,-55.44324826253324,-55.52358934963355,-0.08034108710031518,-80.34108710031518,-50.213179437696986,False
NH3,26,1.1077700518945393,-55.4409814332831,-55.52249887033097,-0.08151743704787151,-81.51743704787151,-50.948398154919694,False
NH3,27,1.1143132987057047,-55.43854957315885,-55.52126012849818,-0.08271055533932525,-82.71055533932525,-51.69409708707828,False
NH3,28,1.1208565455168702,-55.4359586045282,-55.5198792682065,-0.08392066367829898,-83.92066367829898,-52.45041479893686,False
NH3,29,1.1273997923280357,-55.43321426402575,-55.51836224752204,-0.0851479834962916,-85.1479834962916,-53.21748968518225,False
N2,0,1.0602971202446738,-107.47926667605111,-107.62503059905825,-0.14576392300713792,-145.76392300713792,-91.1024518794612,False
N2,1,1.0653698021239377,-107.48232136629704,-107.62952663643944,-0.14720527014239337,-147.20527014239337,-92.00329383899586,False
N2,2,1.0704424840032016,-107.48511120799563,-107.63376835972373,-0.14865715172810212,-148.65715172810212,-92.91071983006383,False
N2,3,1.0755151658824655,-107.48764418539537,-107.63776375824978,-0.15011957285440758,-150.11957285440758,-93.82473303400474,False
N2,4,1.0805878477617292,-107.48992806739469,-107.64152060455814,-0.15159253716345233,-151.59253716345233,-94.74533572715771,False
N2,5,1.0856605296409931,-107.49197041305658,-107.64504645995501,-0.15307604689843402,-153.07604689843402,-95.67252931152126,False
N2,6,1.090733211520257,-107.4937785769808,-107.64834867993184,-0.15457010295104112,-154.57010295104112,-96.6063143444007,False
N2,7,1.095805893399521,-107.4953597145375,-107.65143441944991,-0.15607470491241315,-156.07470491241315,-97.54669057025822,False
N2,8,1.1008785752787849,-107.49672078697107,-107.65431063808938,-0.15758985111831691,-157.58985111831691,-98.49365694894807,False
N2,9,1.1059512571580488,-107.49786856636872,-107.65698410506788,-0.1591155386991545,-159.1155386991545,-99.44721168697157,False
N2,10,1.1110239390373127,-107.49880964050536,-107.65946140413297,-0.16065176362761235,-160.65176362761235,-100.40735226725772,False
N2,11,1.1160966209165764,-107.49955041756465,-107.66174893832897,-0.16219852076432062,-162.19852076432062,-101.37407547770039,False
N2,12,1.1211693027958403,-107.50009713073806,-107.66385293464816,-0.16375580391010658,-163.75580391010658,-102.34737744381661,False
N2,13,1.1262419846751042,-107.50045584271204,-107.665779448561,-0.165323605848954,-165.323605848954,-103.32725365559625,False
N2,14,1.131314666554368,-107.50063245003729,-107.66753436843838,-0.16690191840109492,-166.90191840109492,-104.31369900068432,False
N2,15,1.136387348433632,-107.50063268738897,-107.66912341985616,-0.16849073246719115,-168.49073246719115,-105.30670779199447,False
N2,16,1.141460030312896,-107.50046213172013,-107.67055216980107,-0.17009003808094292,-170.09003808094292,-106.30627380058932,False
N2,17,1.1465327121921598,-107.50012620631114,-107.6718260307673,-0.17169982445616938,-171.69982445616938,-107.31239028510586,False
N2,18,1.1516053940714235,-107.49963018471493,-107.67295026475207,-0.1733200800371435,-173.3200800371435,-108.32505002321469,False
N2,19,1.1566780759506874,-107.49897919460615,-107.67392998715528,-0.17495079254912582,-174.95079254912582,-109.34424534320364,False
N2,20,1.1617507578299513,-107.49817822153258,-107.67477017058208,-0.17659194904949516,-176.59194904949516,-110.36996815593447,False
N2,21,1.1668234397092152,-107.49723211257434,-107.67547564855127,-0.17824353597693232,-178.24353597693232,-111.4022099855827,False
N2,22,1.1718961215884791,-107.49614557990935,-107.6760511191163,-0.17990553920694197,-179.90553920694197,-112.44096200433873,False
N2,23,1.176968803467743,-107.49492320429448,-107.67650114839586,-0.1815779441013774,-181.5779441013774,-113.48621506336087,False
N2,24,1.182041485347007,-107.4935694384564,-107.67683017401906,-0.18326073556265499,-183.260735562655,-114.53795972665937,False
N2,25,1.1871141672262708,-107.4920886104016,-107.6770425084905,-0.1849538980889065,-184.9538980889065,-115.59618630556656,False
N2,26,1.1921868491055345,-107.49048492664369,-107.67714234247075,-0.18665741582705664,-186.65741582705664,-116.6608848919104,False
N2,27,1.1972595309847984,-107.48876247535195,-107.67713374798082,-0.18837127262887066,-188.37127262887066,-117.73204539304416,False
N2,28,1.2023322128640623,-107.48692522942248,-107.67702068152889,-0.1900954521064051,-190.0954521064051,-118.80965756650319,False
N2,29,1.2074048947433262,-107.48497704947498,-107.676806987165,-0.19182993769001655,-191.82993769001655,-119.89371105626034,False
CO,0,1.0680981976887212,-111.20558784136324,-111.33145825693242,-0.12587041556918166,-125.87041556918166,-78.66900973073854,False
CO,1,1.0734349203277058,-111.20843337032042,-111.33539490343705,-0.12696153311662783,-126.96153311662783,-79.3509581978924,False
CO,2,1.0787716429666907,-111.2110301561716,-111.33908861706459,-0.1280584608929871,-128.0584608929871,-80.03653805811695,False
CO,3,1.0841083656056754,-111.21338604596569,-111.34254724614185,-0.1291612001761564,-129.1612001761564,-80.72575011009775,False
CO,4,1.0894450882446602,-111.21550865656897,-111.34577840699396,-0.13026975042498634,-130.26975042498634,-81.41859401561646,False
CO,5,1.094781810883645,-111.21740538198758,-111.3487894912573,-0.13138410926973165,-131.38410926973165,-82.11506829358228,False
CO,6,1.1001185335226296,-111.21908340041051,-111.35158767291148,-0.13250427250096664,-132.50427250096664,-82.81517031310415,False
